id,company_id,pros,cons
1,HDFCBANK,Company is expected to give good quarter,Stock is trading at 2.76 times its book value
2,HDFCBANK,Company has delivered good profit growth of 23.4% CAGR over last 5 years,Company has low interest coverage ratio.
3,HDFCBANK,Company has been maintaining a healthy dividend payout of 22.9%,"Contingent liabilities of Rs.24,09,821 Cr."
4,HDFCBANK,Company's median sales growth is 16.4% of last 10 years,"Earnings include an other income of Rs.1,55,870 Cr."
5,SBILIFE,Company is almost debt free.,Stock is trading at 9.11 times its book value
6,SBILIFE,Company is expected to give good quarter,Tax rate seems low
7,SBILIFE,,Company has a low return on equity of 12.9% over last 3 years.
8,SBILIFE,,"Earnings include an other income of Rs.1,657 Cr."
9,SBILIFE,,Dividend payout has been low at 14.0% of profits over last 3 years
10,INFY,Company has a good return on equity (ROE) track record: 3 Years ROE 30.9%,Stock is trading at 9.03 times its book value
